Nombre,Cargo,Departamento,Facultad,Perfil,Formacion_Academica,URL_Perfil
"Eduardo Andrés Gerlein Reyes, Ph.D.",Profesor Asociado,Ingeniería Electrónica,Facultad de Ingeniería,"Eduardo Gerlein obtuvo su título de Ingeniero en Electrónica de la Pontificia Universidad Javeriana (Bogotá, Colombia) en 2002 y su Maestría en Ciencias en Ingeniería Electrónica en 2008 de la misma institución. Entre enero de 2003 y junio de 2005, se desempeñó como Asistente de Investigación en el Departamento de Ingeniería Electrónica en la Pontificia Universidad Javeriana, dentro del grupo de Sistemas Inteligentes, Robótica y Percepción. Posteriormente, fue nombrado Profesor Instructor en el Departamento de Electrónica en la Pontificia Universidad Javeriana.
En el verano de 2009, Gerlein fue seleccionado para una Pasantía de Investigación de Verano en el Departamento de Ingeniería Eléctrica y de Computadoras en la Universidad de Delaware (Newark, EE. UU.), bajo la supervisión del Profesor Sylvain Cloutier, enfocándose en el desarrollo del curso de Dispositivos Semiconductores.
En junio de 2016, recibió su Doctorado de la Universidad de Ulster (Irlanda del Norte, Reino Unido), con base en el Centro de Investigación de Sistemas Inteligentes (Londonderry, Irlanda del Norte) como parte del Grupo de Ingeniería de Mercados de Capitales. Bajo la supervisión del Profesor Martin McGinnity, el Dr. Ammar Belatreche y la Dra. Sonya Coleman, su investigación estuvo dirigida al desarrollo de arquitecturas de hardware para sistemas multiagente en FPGA para aplicaciones financieras.
Intereses de Investigación: Robótica, Sistemas Multiagente, Sistemas Embebidos, Diseño de Sistemas Digitales, Bioingeniería.","Doctorado, Doctor en Ciencias de la Computación | Fecha de grado: | 20 abr 2016 | Maestría, Maestria en Ingeniería Electrónica | Fecha de grado: | 01 sept 2008 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 sept 2002",https://perfilesycapacidades.javeriana.edu.co/es/persons/egerlein
"Francisco Carlos Calderón Bocanegra, Ph.D.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,"Soy Profesor Universitario desde 2009, con una trayectoria dedicada al procesamiento de señales multidimensionales e inteligencia artificial. Mi especialización abarca visión por computadora, sistemas estéreo y multivista, robótica y la estimación de variables de tráfico. En la Pontificia Universidad Javeriana, mi investigación se centra en la estimación de profundidad, fotografía computacional y procesamiento de imágenes, sustentada en mi sólida experiencia en el procesamiento digital de señales, especialmente en señales multidimensionales como imágenes y videos. He desarrollado sistemas embebidos para el procesamiento de señales, clasificación y control, incluyendo sistemas complejos que demandan una optimización de hardware minuciosa. Mi contribución al campo de la inteligencia artificial y visión por computadora se refleja en una amplia gama de aplicaciones prácticas, desde la mejora de sistemas de tráfico hasta avances en la agricultura de precisión y la robótica.","Doctorado, Doctor en Ingeniería | Fecha de grado: | 11 mar 2017 | Maestría, Magíster en Ingeniería Electrónica | Fecha de grado: | 04 sept 2010 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 28 mar 2009",https://perfilesycapacidades.javeriana.edu.co/es/persons/calderonf
"Germán Yamhure Kattah, MSc.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,,"Maestría, Magister en Ingeniería Electrónica | Fecha de grado: | 06 sept 2008 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 feb 1978",https://perfilesycapacidades.javeriana.edu.co/es/persons/gyamhure
"Gustavo Adolfo Ramírez Espinosa, Ph.D.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,"Gustavo Ramírez-Espinosa, ingeniero electrónico y M.Sc en Elecrónica de la Pontificia Universidad Javeriana, Bogotá, Colombia. Y doctor en Ingeniería Informática y Control en el Politécnico de Turín, Italia, en 2023. Actualmente es Profesor Asistente en el Departamento de Electrónica de la Pontificia Universidad Javeriana. Sus intereses de investigación incluyen IoT, Tecnología Musical, sistemas embebidos, aprendizaje automático, redes de datos y ciberseguridad.","Doctorado, Dottore Ingegneria Informatica e Dei Sistemi | Fecha de grado: | 26 oct 2023 | Maestría, Magister en Ingeniería Electrónica | Fecha de grado: | 23 ago 2013 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 18 feb 2010",https://perfilesycapacidades.javeriana.edu.co/es/persons/ramirez.g
"Jairo Alberto Hurtado Londoño, Ph.D.",Profesor Titular,Ingeniería Electrónica,Facultad de Ingeniería,"Jairo A. Hurtado es profesor titular en la Facultad de Ingeniería de la Pontificia Universidad Javeriana en Bogotá, Colombia.
Recibió su doctorado en electrónica y comunicaciones en el Politécnico de Turín.
Fue Director del Programa de Ingeniería Electrónica y ha estado trabajando en diversos iniciativas para potenciar los procesos de aprendizaje de sus alumnos.
Su áreas principales de trabajo son el procesamiento de señales y la educación en ingeniería.","Doctorado, Doctor en Investigación en Ingeniería Electrónica y Comunicaciones | Fecha de grado: | 05 nov 2012 | Maestría, Magister en Ingeniería Electrónica | Fecha de grado: | 01 abr 2003 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 dic 1996",https://perfilesycapacidades.javeriana.edu.co/es/persons/jhurtado
"José Reinaldo Vuelvas Quintana, Ph.D.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,"Ingeniero electrónico con maestría y doctorado en Ingeniería, con énfasis en sistemas de control, mercados eléctricos y optimización. Profesor Asociado y Director de la Maestría en Energía y Sostenibilidad en la Pontificia Universidad Javeriana (Colombia), donde lidera el grupo de investigación CEPIT, reconocido en categoría A1 por Minciencias. Su trabajo de investigación, desarrollado a lo largo de más de una década, se centra en la respuesta a la demanda, los vehículos eléctricos, la teoría de juegos aplicada a mercados eléctricos, y los sistemas de gestión de energía para microrredes. Ha publicado extensamente en revistas de alto impacto como Applied Energy, IEEE Access y Sustainable Energy, Grids & Networks, y ha sido reconocido como Investigador Senior por Minciencias. Cuenta con experiencia en dirección de tesis doctorales, gestión académica de posgrado, consultoría energética con el sector productivo, y formación continua para empresas del sector energético.","Doctorado, Doctor en Ingeniería | Fecha de grado: | 16 mar 2019 | Maestría, Magíster en Ingeniería Electrónica | Fecha de grado: | 04 sept 2010 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 08 sept 2009",https://perfilesycapacidades.javeriana.edu.co/es/persons/vuelvasj
"Juan Carlos Giraldo Carvajal, Ph.D.",Profesor Asociado,Ingeniería Electrónica,Facultad de Ingeniería,"Profesor de la Pontificia Universidad Javeriana con Maestría en Diseño de Sistemas Digitales y Doctorado en Electromagnetismo Computacional.
Previa a su vinculación con la Universidad Javeriana trabajo en los Sectores de Soporte de Energía, Sistemas de Comunicación y Desarrollo de Software entre los años 1996 y 2002.
Actualmente es Jefe de la Sección de Digitales. Con amplia trayectoria en gestión académica como Director del Programa de Ingeniería Electrónica de la Pontficia Universidad Javeriana entre los años 2002 y 2008. Fue responsable del proceso de acreditación del programa ante el CNA (Consejo Nacional de Acreditación), Refoma Curricular e Implementación de Sistemas de Información.
En docencia implementó procesos de evaluación por competencias en algunos de las asignaturas a su cargo. Su área de experticia ha sido el deasarrollo de software para Sistemas Embebidos y Diseño DIgital.
En investigación su área se centra en simulación de circuitos por computador, fenómenos físicos, dada su experticia en métodos de FDTD para Electromagnetismo Computacional.
Ha sido Consejero Académico y actualemnt lidera los Semileros de Investogación en Blockchain y Física Computacional.","Doctorado, Doctor en Ingeniería | Fecha de grado: | 30 sept 2020 | Maestría, Magister en Ingeniería Electrónica | Fecha de grado: | 05 sept 2009 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 ene 1991",https://perfilesycapacidades.javeriana.edu.co/es/persons/jcgiraldo
"Julián David Colorado Montaño, Ph.D.",Profesor Asociado - Consejero Académico,Ingeniería Electrónica,Facultad de Ingeniería,"I’m an Associate Professor in the Dept of Electronics Engineering at Pontificia Universidad Javeriana (PUJ) in Bogota, Colombia. My current research involves the development of cutting-edge methods for autonomous systems, with a strong focus on AI-driven applied robotics, aiming at designing, developing and deploying smart robotic systems in the field. Over the years, I have led R&D projects in the areas of biologically inspired soft robots, UAV-based sensing and monitoring, precision agriculture & smart-farming, and robotic-aided bioengineering applications. Also, on advanced multi-omics phenotyping using robotics, AI and remote sensing approaches. I'm also author of the textbook 
ROBOTICA: ENFOQUE COMPUTACIONAL
. Editorial Javeriana, Colombia, 2023. ISBN 978-628-7618-60-2. p.454 
I’m also a 
wildlife & nature
 passionate photographer. Wildlife photography is heavily reliant on animal behavioral patterns. This is a passion I have from the last 16 years in the field. I specialize in capturing the artistic beauty of natural habitats and intimate moments with wildlife, relying on Nikon ℤ gear 📷 - My fine art frames are selected amongst my most beloved photographs from the unforgettable moments out there in nature. See 
portfolio
. I'm also author of the photography book 
ALAS DE LA REGION ANDINA
, Vol 1. 2021. Editorial Paramericana Formas e Impresos SAS. Colombia. ISBN: 978-958-49-4183-1. p.45","Doctorado, Doctor en Automática y Robótica, | UNIVERSIDAD POLITECNICA DE MADRID -UNIVERSIDA | Fecha de grado: | 14 dic 2012 | Doctorado, Doctoral Research fellow in Bio-inspired aerial robotics, | Brown University | Fecha de grado: | 30 jul 2011 | Maestría, Robótica y Automática , | UNIVERSIDAD POLITECNICA DE MADRID -UNIVERSIDA | Fecha de grado: | 15 dic 2009 | Pregrado, Ingeniería Electrónica, | Pontificia Universidad Javeriana Seccional Cali | Fecha de grado: | 30 nov 2006",https://perfilesycapacidades.javeriana.edu.co/es/persons/coloradoj
"Luis Carlos Trujillo Arboleda, MSc.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,,"Maestría, Magister en Ingenieria - Area Telematica | Fecha de grado: | 28 oct 2005 | Pregrado, Ingeniero en Electronica | Fecha de grado: | 01 dic 1993",https://perfilesycapacidades.javeriana.edu.co/es/persons/trujillo.luis
"Luis Fernando Melchior Ramírez, Ph.D.",Profesor Temporal - Consejero Académico,Ingeniería Electrónica,Facultad de Ingeniería,"Amplia y destacada experiencia en Colombia y en el exterior, en las áreas de Dirección de Investigación y Desarrollo en Electrónica de Potencia, Investigación y Desarrollo en Electrónica de Potencia y Energía Solar, Ingeniería, Documentación, Capacitación, Pruebas, Servicio Técnico y al Cliente, al igual que en Docencia Universitaria, Gerencia de Proyectos y Aseguramiento del Sistema de Gestión de la Calidad ISO9001.","Maestría, Maestría En Administración Y Planificación Educativa | Fecha de grado: | 12 ago 2019 | Pregrado, Ingenieria Electronica | Fecha de grado: | 01 mar 2004",https://perfilesycapacidades.javeriana.edu.co/es/persons/lmelchior
"Luis Gabriel Marín Collazos, Ph.D.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,"Luis Gabriel Marín Collazos es Doctor en Ingeniería Eléctrica, Magíster en Ciencias de la Información y las Comunicaciones, Especialista en Evaluación Pedagógica e Ingeniero Electrónico. Actualmente se desempeña como profesor en el Departamento de Ingeniería Electrónica de la Pontificia Universidad Javeriana.
Su agenda de investigación incluye la operación y coordinación de comunidades energéticas particularmente basados en estrategias de control predictivo robusto, así como el desarrollo de metodologías (redes neuronales, sistemas difusos tipo-1 y tipo-2, Support Vector Regressor –SVR– y deep learning) para el modelamiento de sistemas nolineales con caracterización de la incertidumbre tales como la demanda eléctrica y recursos de energía renovables. También está enfocada en la planeación de sistemas energéticos considerando el efecto de la incertidumbre de los recursos renovables y la demanda como estrategia para reducir las emisiones de carbono y aumentar el uso eficiente de la energía, en el desarrollo de metodologías para la transición hacia sistemas de distribución de energía resilientes basado en microrredes.","Doctorado, Doctor En Ingeniería Eléctrica, | Universidad de Chile | Fecha de grado: | 28 dic 2018 | Maestría, Maestría En Ciencias De La Información Y Las Comunicaciones | Fecha de grado: | 28 sept 2012 | Especialización, Especialización En Evaluación Pedagógica | Fecha de grado: | 14 dic 2006 | Pregrado, Ingeniería Electrónica | Fecha de grado: | 30 may 2003",https://perfilesycapacidades.javeriana.edu.co/es/persons/luis_marinc
"Manuel Ricardo Pérez Cerquera, Ph.D.",Profesor Asociado,Ingeniería Electrónica,Facultad de Ingeniería,"Senior Research Scientist in Applied Electromagnetics with over 10 years of experience leading research, development, and innovation projects. Currently, I serve as an Associate Professor in the Department of Electronics Engineering at Pontificia Universidad Javeriana in Bogotá, Colombia. I am an experienced lecturer, teaching undergraduate courses in Electromagnetism, Microwave Systems, Communications for Wireless Sensor Networks, and Radar Systems. At the graduate level, I have taught Ph.D. and M.Sc. courses in Antennas, Wireless Communications, and Internet of Things (IoT) Communications. My research has resulted in numerous publications in internationally indexed journals. 
My expertise includes antenna design and measurement for a wide range of applications and frequency bands, as well as microwave systems and radiofrequency electronics. I am also highly experienced in bio-electromagnetics, particularly in Specific Absorption Rate (SAR) assessment and the study of implantable medical device (IMD) susceptibility. Additionally, I specialize in IoT communications, with a focus on Low-power Wide-area Networks. As a mentor and advisor, I have supervised more than 50 undergraduate, M.Sc., and Ph.D. theses.","Doctorado, Doctor en Ingeniería Electrónica y de Las Comunicaciones | Fecha de grado: | 26 nov 2013 | Maestría, Electronics Engineering (Wireless Communications) | Fecha de grado: | 15 nov 2009 | Pregrado, Electronics Engineering | Fecha de grado: | 15 sept 2007",https://perfilesycapacidades.javeriana.edu.co/es/persons/manuel.perez
"Martha Lucía Cano Morales, Ph.D.",Profesor Temporal,Ingeniería Electrónica,Facultad de Ingeniería,,"Doctorado, Doctora en Ingeniería, | Rowan University | Fecha de grado: | 30 ago 2025 | Maestría, Maestría en ciencias de la modelización de la información y de sistemas, | Université Paul Sabatier Toulouse III | Fecha de grado: | 28 nov 2006 | Pregrado, Ingeniera Electrónica, | Pontificia Universidad Javeriana Sede Bogotá | Fecha de grado: | 28 ago 2004 | Palabras clave | HT Communities. Classes. Races | TK Electrical engineering. Electronics Nuclear engineering",https://perfilesycapacidades.javeriana.edu.co/es/persons/martha-lucia-cano-morales
"Martha Lucía Zequera Díaz, Ph.D.",Profesor Titular,Ingeniería Electrónica,Facultad de Ingeniería,"Soy Martha 
Zequera
 Díaz, Diseñadora Industrial egresada en 1987 de la Pontificia Universidad Javeriana, con Maestría en Ingeniería Biomédica en la Universidad de 
Dundee
, Reino Unido en 1992 y con Doctorado en Bioingeniería de la Universidad de 
Strathclyde
, Reino Unido, en 2003, en donde actualmente soy profesora invitada. Soy Profesora Titular del Departamento de Electrónica de la Facultad de Ingeniería de la Pontificia Universidad Javeriana, vinculada a esta institución desde 1992 a la fecha; dictando las asignaturas de emprendimiento y tecnología, seminario de trabajo de grado, regulación de dispositivos médicos e ingeniería y sociedad, en el departamento de electrónica; he dirigido más de 40 trabajos de grado de electrónica, 15 de maestría en Bioingeniería y la dirección de 5 tesis doctorales. Con una trayectoria de más de 15 años en investigación en el campo de ingeniería 
Biomedica
 y 
Bioingenieria
; particularmente en el campo de la biomecánica aplicada a soluciones digitales soportadas por tecnologías emergentes para el manejo integral de enfermedades crónicas particularmente la diabetes. Actualmente, lidero el desarrollo de la tecnología 
DIAPETICS
 para el ecosistema digital del autocuidado de los pies, con él apoyó del sector productivo.
Desde el año 2008 soy miembro activo del Grupo de Investigación en Bioingeniería “
BASPI
” enfocado en análisis de procesamiento de señales e imágenes. Mis intereses de investigación en Ingeniería Biomédica incluyen el desarrollo de plataformas digitales integradas con dispositivos biomédicos y sistemas de información para la evaluación biomecánica y neurológica de las alteraciones de la marcha, desórdenes de los pies y su aplicación en el desarrollo de calzado saludable. Adicionalmente, estoy realizando investigaciones para la mejora del diagnóstico precoz y el tratamiento de las complicaciones del pie diabético y otros desórdenes del pie, mediante el desarrollo de sistemas digitales innovadores para soportar diagnósticos y tratamientos basados ​​en el procesamiento de imágenes médicas y sistemas CAD/CAM para brindar confort con plantillas terapéuticas y calzado saludable. Mi principal interés de investigación es contribuir en la mejora del diagnóstico, control y tratamiento de las complicaciones de la diabetes mediante la integración de tecnologías emergentes IA, e-
health
, m-
health
, Telemedicina, dispositivos de monitorización continua, sistemas expertos, sistemas de salud móviles inteligentes personalizados y sistemas de información de salud. Soy autora y coautora de artículos publicados en revistas científicas y trabajos presentados en congresos internacionales, además de la publicación de dos libros y normas de dispositivos médicos elaborados para el Ministerio de Salud de Colombia.
He estado vincula a proyectos de investigación para el diagnóstico temprano y manejo del pie diabético con el fin de prevenir amputaciones mediante el uso de TIC, financiados por el Gobierno (COLCIENCIAS) y la Pontificia Universidad Javeriana con la colaboración internacional de la Universidad Stratchclyde. Reino Unido, Universidad de Zagreb, Croacia, Universidad de Orleans, Francia y Universidad de Girona, España.
He participado en redes internacionales en las cuales he ocupado cargos en las directivas de las sociedades científicas más destacadas a nivel mundial, con el objetivo de promover el desarrollo de la ingeniería biomédica a nivel global. He sido representante latinoamericana de la Sociedad de Ingeniería en Medicina y Biología IEEE/EMBS desde 2010 hasta 2014, también he sido miembro AdCom de la IEEE/EMBS Internacional y fui nominada como Presidenta del Capítulo de Desarrollo Mundial de IEEE/EMBS durante los años 2010, 2011 y 2012.
Actualmente, soy miembro del consejo directivo y lidero el grupo de trabajo en educación y acreditación en educación biomédica a nivel global y el grupo de estudiantes y recién graduados de la Federación Internacional Europea de Medicina e Ingeniería Biológica (IFMBE). He organizado varias conferencias, jornadas, reuniones, minisimposios y cursos en Ingeniería Biomédica, en Educación de Bioingeniería, Tecnologías para el Cuidado de la Salud, Biomecánica, Impacto en la Salud Global y Tecnologías emergentes para enfermedades crónicas en las más prestigiosas sociedades científicas internacionales. Las conferencias anuales de la Sociedad de Ingeniería en Medicina y Biología IEEE/EMBS, y la Federación Internacional Europea de Ingeniería Médica y Biológica (IFMBE), y las conferencias latinas del Consejo Regional Latinoamericano de Ingeniería Biomédica (CORAL).
He colaborado con el editor de IFMBE News y soy editora del tema 11, “Educación en ingeniería biomédica” de la conferencia anual de la Sociedad de Ingeniería en Medicina y Biología IEEE/EMBS. Soy revisora ​​de las Transacciones IEEE/EMBS sobre Ingeniería Biomédica.
Actualmente, mi principal interés como profesora de planta de la Pontificia Universidad Javeriana, es promover el interés de innovación y emprendimiento en el sector salud, en las nuevas generaciones de ingenieros, soportada en la aplicación de las tecnologías digitales emergentes para el bienestar del ser humano. En este sentido he creado la escuela de verano desde 2017 hasta la fecha, reconocida como: “
Emerging
 
Technologies
 
To
 
Support
 
Health
 
Care
 
And
 
Independent
 Living”; escuela que se realiza cada año, convocando a estudiantes de toda Latinoamérica y a profesores de Asia, Europa y Latinoamérica para su formación. Escuela financiada por la Pontificia Universidad Javeriana e 
IFMBE
. En este proceso he vinculado el sector productivo y mi proyección es desarrollar un centro de investigación aplicada de referencia en calzado saludable.","Doctorado, Doctor of Philosophy | Fecha de grado: | 11 jul 2003 | Maestría, Master of Sciences in Biomedical Engineering | Fecha de grado: | 01 sept 1991 | Pregrado, Diseñador Industrial | Fecha de grado: | 01 ene 1987",https://perfilesycapacidades.javeriana.edu.co/es/persons/mzequera
"Rafael Fernando Díez Medina, Ph.D.",Profesor Titular - Consejero Académico,Ingeniería Electrónica,Facultad de Ingeniería,"Ingeniero electrónico de la Pontificia Universidad Javeriana (Bogotá, Colombia) en 2001; en 2005 obtuvo su maestría en microelectrónica en la Universidad Paul Sabatier de Toulouse (Francia) y en 2008 su doctorado en ingeniería eléctrica en el Instituto Nacional Politécnico de Toulouse. Actualmente es profesor titular del departamento de electrónica de la Pontificia Universidad Javeriana. Su principal interés es el desarrollo de convertidores de potencia para descargas eléctricas.","Doctorado, Doctor en Ingeniería Electrica | Fecha de grado: | 26 nov 2008 | Maestría, Mastes Sciences de la Modelisation, Specialite Conception Des Circuits Midroelectroniques Et Microsy | Fecha de grado: | 01 mar 2006 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 may 2001",https://perfilesycapacidades.javeriana.edu.co/es/persons/rdiez
